"Code","Entity"
"OWID_ABK","Abkhazia"
"OWID_AKD","Akrotiri and Dhekelia"
"ALA","Aland Islands"
"AIA","Anguilla"
"ATA","Antarctica"
"OWID_AUH","Austria-Hungary"
"OWID_BAD","Baden"
"OWID_BAV","Bavaria"
"BES","Bonaire Sint Eustatius and Saba"
"BVT","Bouvet Island"
"IOT","British Indian Ocean Territory"
"OWID_CIS","Channel Islands"
"CXR","Christmas Island"
"CCK","Cocos Islands"
"COK","Cook Islands"
"OWID_CZS","Czechoslovakia"
"OWID_GDR","East Germany"
"OWID_ERE","Ethiopia (former)"
"FLK","Falkland Islands"
"GUF","French Guiana"
"ATF","French Southern Territories"
"GLP","Guadeloupe"
"GGY","Guernsey"
"OWID_HAN","Hanover"
"HMD","Heard Island and McDonald Islands"
"OWID_HSE","Hesse Electoral"
"OWID_HSG","Hesse Grand Ducal"
"JEY","Jersey"
"OWID_KRU","Korea (former)"
"OWID_KOS","Kosovo"
"MTQ","Martinique"
"MYT","Mayotte"
"OWID_MEC","Mecklenburg Schwerin"
"OWID_MOD","Modena"
"MSR","Montserrat"
"OWID_NAG","Nagorno-Karabakh"
"ANT","Netherlands Antilles"
"NIU","Niue"
"NFK","Norfolk Island"
"OWID_CYN","Northern Cyprus"
"OWID_PMA","Parma"
"PCN","Pitcairn"
"OWID_RVN","Republic of Vietnam"
"REU","Reunion"
"BLM","Saint Barthelemy"
"SHN","Saint Helena"
"SPM","Saint Pierre and Miquelon"
"OWID_SAX","Saxony"
"OWID_SRM","Serbia and Montenegro"
"OWID_SEK","Serbia excluding Kosovo"
"OWID_SML","Somaliland"
"SGS","South Georgia and the South Sandwich Islands"
"OWID_SOS","South Ossetia"
"SJM","Svalbard and Jan Mayen"
"TWN","Taiwan"
"TKL","Tokelau"
"OWID_TRS","Transnistria"
"OWID_TUS","Tuscany"
"OWID_SIC","Two Sicilies"
"OWID_USS","USSR"
"UMI","United States Minor Outlying Islands"
"VAT","Vatican"
"WLF","Wallis and Futuna"
"OWID_GFR","West Germany"
"ESH","Western Sahara"
"OWID_WRT","Wuerttemburg"
"OWID_YAR","Yemen Arab Republic"
"OWID_YPR","Yemen People's Republic"
"OWID_YGS","Yugoslavia"
"OWID_ZAN","Zanzibar"
